id,dim1,dim2,dim3,cid
1,25,27,24,0
2,24,26,23,0
3,21,23,20,0
4,21,23,20,0
5,21,23,20,0
6,22,24,21,0
7,23,25,22,0
8,23,25,22,0
9,23,25,22,0
10,23,25,22,0
11,23,25,22,0
12,22,24,21,0
13,22,24,21,0
14,22,24,21,0
15,22,24,21,0
16,22,24,21,0
17,22,24,21,0
18,23,24,22,0
19,23,23,21,0
20,22,22,20,0
21,22,22,20,0
22,22,22,20,0
23,24,24,22,0
24,22,22,20,0
25,22,22,20,0
26,22,22,20,0
27,22,22,20,0
28,22,22,20,0
29,22,22,20,0
30,22,22,20,0
31,22,22,20,0
32,22,22,20,0
33,22,22,20,0
34,22,22,20,0
35,22,22,20,0
36,21,21,19,0
37,21,21,19,0
38,21,21,19,0
39,22,22,20,0
40,22,22,20,0
41,21,22,20,0
42,20,22,19,0
43,21,23,20,0
44,22,24,21,0
45,23,25,22,0
46,24,26,23,0
47,23,25,22,0
48,20,22,19,0
49,21,23,20,0
50,24,26,23,0
51,24,26,23,0
52,19,21,18,0
53,23,23,21,0
54,24,24,22,0
55,24,24,21,0
56,24,25,20,0
57,24,25,20,0
58,25,26,20,0
59,27,24,21,0
60,28,24,21,0
61,40,36,32,0
62,56,51,45,0
63,32,27,19,0
64,29,23,15,0
65,28,19,15,0
66,26,17,13,0
67,36,27,23,0
68,31,23,19,0
69,30,21,17,0
70,34,26,22,0
71,33,25,21,0
72,34,25,21,0
73,37,29,25,0
74,39,31,27,0
75,35,27,23,0
76,27,21,13,0
77,28,23,15,0
78,31,26,20,0
79,28,24,20,0
80,27,23,20,0
81,27,24,21,0
82,22,23,17,0
83,22,23,17,0
84,21,22,17,0
85,20,21,17,0
86,20,20,18,0
87,20,20,18,0
88,19,18,16,0
89,19,18,16,0
90,20,19,17,0
91,21,20,18,0
92,21,20,18,0
93,21,20,18,0
94,20,19,17,0
95,20,19,17,0
96,20,19,17,0
97,20,19,17,0
98,20,19,17,0
99,19,18,15,0
100,18,17,13,0
101,18,17,13,0
102,18,17,13,0
103,18,17,13,0
104,18,17,13,0
105,19,18,14,0
106,19,18,14,0
107,18,17,13,0
108,17,16,12,0
109,17,16,12,0
110,17,16,12,0
111,16,15,11,0
112,16,15,11,0
113,16,15,11,0
114,16,15,11,0
115,16,15,11,0
116,16,15,11,0
117,16,15,11,0
118,15,14,10,0
119,15,14,10,0
120,14,13,9,0
121,14,13,9,0
122,14,13,9,0
123,14,13,9,0
124,14,13,9,0
125,14,13,9,0
126,14,13,9,0
127,14,13,9,0
128,13,12,8,0
129,25,27,24,0
130,25,27,24,0
131,23,25,22,0
132,22,24,21,0
133,23,25,22,0
134,24,26,23,0
135,22,24,21,0
136,22,24,21,0
137,22,24,21,0
138,22,24,21,0
139,22,24,21,0
140,22,24,21,0
141,23,25,22,0
142,22,24,21,0
143,22,24,21,0
144,22,24,21,0
145,21,23,20,0
146,22,23,20,0
147,27,27,25,0
148,23,23,21,0
149,21,21,19,0
150,24,24,22,0
151,23,23,21,0
152,23,23,21,0
153,22,22,20,0
154,22,22,20,0
155,22,22,20,0
156,22,22,20,0
157,22,22,20,0
158,22,22,20,0
159,22,22,20,0
160,22,22,20,0
161,22,22,20,0
162,22,22,20,0
163,22,22,20,0
164,20,20,18,0
165,20,20,18,0
166,21,21,19,0
167,21,21,19,0
168,21,21,19,0
169,21,22,20,0
170,21,23,20,0
171,22,24,21,0
172,23,25,22,0
173,23,25,22,0
174,23,25,22,0
175,22,24,21,0
176,20,22,19,0
177,20,22,19,0
178,23,25,22,0
179,24,26,23,0
180,20,22,19,0
181,24,25,23,0
182,25,26,21,0
183,25,26,21,0
184,25,26,20,0
185,25,26,20,0
186,25,26,20,0
187,26,22,19,0
188,33,28,25,0
189,37,32,28,0
190,34,29,23,0
191,25,18,10,0
192,35,28,21,0
193,48,42,39,0
194,73,68,65,0
195,64,58,55,0
196,61,55,52,0
197,48,43,40,0
198,43,35,31,0
199,31,22,17,0
200,28,19,14,0
201,32,23,18,0
202,38,29,24,0
203,36,27,22,0
204,29,22,14,0
205,32,25,17,0
206,34,29,23,0
207,32,27,23,0
208,28,24,21,0
209,27,23,20,0
210,23,24,18,0
211,22,23,17,0
212,21,22,17,0
213,21,22,17,0
214,20,20,18,0
215,20,20,18,0
216,19,18,16,0
217,19,18,16,0
218,20,19,17,0
219,21,20,18,0
220,21,20,18,0
221,21,20,18,0
222,20,19,17,0
223,20,19,17,0
224,20,19,17,0
225,21,20,18,0
226,21,20,18,0
227,19,18,15,0
228,18,17,13,0
229,18,17,13,0
230,18,17,13,0
231,18,17,13,0
232,18,17,13,0
233,20,19,15,0
234,20,19,15,0
235,19,18,14,0
236,18,17,13,0
237,18,17,13,0
238,17,16,12,0
239,16,15,11,0
240,16,15,11,0
241,16,15,11,0
242,16,15,11,0
243,16,15,11,0
244,16,15,11,0
245,16,15,11,0
246,15,14,10,0
247,15,14,10,0
248,14,13,9,0
249,14,13,9,0
250,14,13,9,0
251,14,13,9,0
252,14,13,9,0
253,14,13,9,0
254,14,13,9,0
255,14,13,9,0
256,13,12,8,0
257,27,29,26,0
258,27,29,26,0
259,25,27,24,0
260,24,26,23,0
261,24,26,23,0
262,26,28,25,0
263,22,24,21,0
264,22,24,21,0
265,22,24,21,0
266,22,24,21,0
267,22,24,21,0
268,22,24,21,0
269,23,25,22,0
270,23,25,22,0
271,22,24,21,0
272,21,23,20,0
273,21,23,20,0
274,22,23,21,0
275,33,33,31,0
276,25,25,23,0
277,20,20,18,0
278,25,25,23,0
279,21,21,19,0
280,22,22,20,0
281,22,22,20,0
282,22,22,20,0
283,22,22,20,0
284,22,22,20,0
285,22,22,20,0
286,22,22,20,0
287,22,22,20,0
288,22,22,20,0
289,22,22,20,0
290,22,22,20,0
291,22,22,20,0
292,20,20,18,0
293,20,20,18,0
294,21,21,19,0
295,21,21,19,0
296,21,21,19,0
297,21,22,19,0
298,22,24,21,0
299,23,25,22,0
300,24,26,23,0
301,22,24,21,0
302,20,22,19,0
303,20,22,19,0
304,20,22,19,0
305,20,22,19,0
306,23,25,22,0
307,24,26,23,0
308,20,22,19,0
309,25,26,22,0
310,26,27,22,0
311,26,27,21,0
312,25,26,20,0
313,25,26,19,0
314,25,26,18,0
315,38,34,31,0
316,31,26,23,0
317,22,17,13,0
318,38,31,25,0
319,71,64,56,0
320,76,68,61,0
321,84,80,77,0
325,79,75,72,0
326,62,55,50,0
327,48,37,31,0
328,33,22,16,0
329,29,18,12,0
330,33,22,16,0
331,31,20,14,0
332,31,21,15,0
333,36,29,22,0
